TITLE: Bill of Materials
BOM NO: 05_036355-a.csv
DATE: 03/12/2014
DESIGN: 02_036355a_top
TEMPLATE: Z:\allegro\v165_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_036355a\worklib\02_036355a_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION,VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG,MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,DNI
1,1,08_036355a,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_036355a,N/A,?,?,?,?
2,30,E007200,CAP CER X7R 0402,0.1UF,C0402,10,16V,?,"C102,C104,C106,C108,C110,C112,C114,C116,C118,C120,C122,C128,C129,C201,C202,C205,C206,C209-C218,C225,C230,C507",MURATA,GRM155R71C104KA88D,REL,A004-0011-066,?,?,?
3,1,E011566,CAP CER Y5V 0402,0.47uF,C0402,-20/+80,16V,?,C123,MURATA,GRM155F51C474ZA01D,REL,?,N/A,?,?
4,1,E019563,CAP CER MULTILAYER,2000pF,C0402,5,25V,?,C2,KEMET,C0402C202J3GACTU,REL,?,?,?,?
7,4,E007141,CAP CER C0G 0402,12pF,C0402,5,50V,?,"C223,C224,C228,C229",MURATA,GRM1555C1H120JZ01D,REL,?,?,?,?
8,6,E011429,CAP MONO CER 0402 SMD X5R,1uF,C0402,10,10V,?,"C231,C232,C504,C505,C510,C513",MURATA,GRM155R61A105KE15D,REL,ADD_TO_STOCK,?,?,?
9,2,E011572,CAP ALUM ELECTROLYTIC,470uF,CPLRAD197D394H492LD24,20,16V,?,"C500,C502",PANASONIC,EEUFM1C471,REL,?,?,?,?
10,5,E006166,CAP CER MONOLITHIC,10UF,C0805,10,16V,?,"C501,C503,C508,C509,C512",MURATA,GRM21BR61C106KE15L,REL,A004-0008-060,?,?,?
11,1,E006534,CAP CER CHIP,22UF,C0805,20,6.3V,?,C506,MURATA,GRM21BR60J226ME39L,REL,ADD_TO_STOCK_220,?,?,?
12,1,E006532,CAP CER CHIP,100UF,C1210,20,6.3V,?,C514,MURATA,GRM32ER60J107ME20L,REL,ADD_TO_STOCK_218,?,?,?
13,1,E012952,DIODE SCHOTTKY BARRIER RECT,B230A-13-F,SMA-2,N/A,30V,?,CR501,DIODES INCORPORATED,B230A-13-F,REL,?,?,?,?
14,5,E015386,LED SMD 0603 RED,TLMS1100-GS08 (red),LED0603,N/A,2.1V,?,DS102-DS106,VISHAY,TLMS1100-GS08,REL,?,?,?,?
15,12,E014551,CONN-PCB END LAUNCH JACK RCPT,142-0701-851,CNSMAL562W375H166,?,?,?,"J201-J205,J207,J209-J214",EMERSON NETWORK POWER,142-0701-851,REL,?,?,?,?
16,3,E000916,CONN-PCB COAX SMA ST,142-0701-201,CNJOHNSON142-0701-201,?,?,?,J215-J217,JOHNSON,142-0701-201,REL,A012-0001-033,40313JH541,?,?
17,1,E006957,INDUCTOR SM,1uH,IND-TDK-VLS3012T,30,?,?,L500,TDK,VLS3012T-1R0N2R2,REL,ADD_TO_STOCK35,?,?,?
18,1,E015259,INDUCTOR POWER SMD,4.7uH,LSML146W138H47,20,?,?,L501,TDK,VLF4012AT-4R7M1R1,REL,?,?,?,?
