TITLE: Bill of Materials,,,,,,,,,,
BOM NO: 05-050322-01-c.csv,,,,,,,,,,
DESIGN: 02_050322c_top,,,,,,,,,,
,,,,,,,,,,
ITEM#,Qty,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN
2,8,"CAP CER C0G, AUTOMOTIVE GRADE", 10NF,C1812H71,5,630V,,"C0_0,C0_24,C2_0,C2_25,C4_0,C4_26,C6_0,C6_27",TDK, CGA8L4C0G2J103J160KA
4,16,CAP CER X7R, 1uF,C0603,10,16V,,"C0_5,C0_7,C0_10,C0_12,C2_5,C2_7,C2_10,C2_12,C4_5,C4_7,C4_10,C4_12,C6_5,C6_7,C6_10,C6_12",AVX, 0603YC105KAT2A
5,28,CAP CER X7R 0603, 0.1uF,C0603,10,50V,,"C0_3,C0_4,C0_6,C0_8,C0_9,C0_11,C1_3,C2_3,C2_4,C2_6,C2_8,C2_9,C2_11,C3_3,C4_3,C4_4,C4_6,C4_8,C4_9,C4_11,C5_3,C6_3,C6_4,C6_6,C6_8,C6_9,C6_11,C7_3",AVX, 06035C104KAT2A
8,16,CAP CER 10PF 50V 5% C0G 0603, 10PF,C0603,5,50V,,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16",SAMSUNG, CL10C100JB8NNNC
9,3,CAP CER MULTILAYER X5R, 10UF,C1206H71,10,25V,,"C17,C19,C23",YAGEO, CC1206KKX5R8BB106
10,2,CAP CER X7R, 1uF,C1206H71,10,50V,,"C18,C21",AVX, 12065C105KAT2A
12,1,CAP CER X7R, 0.1uF,C0805,5,50V,,C22,KEMET, C0805C104J5RACTU
13,8,"RES VARISTOR, PLASTIC ENCAPSULATED, 400A", 275VAC/350VDC,R3225,10,,1/10W,"D0_0,D1_0,D2_0,D3_0,D4_0,D5_0,D6_0,R7_0",KEMET, VP3225K401R275
14,12,"DIO PASSIVATED JUNCTION RECTIFIER, 1000V, 1A", BYM10-1000-E3/96,DO213AB,,1000V,,"D0_1,D0_2,D1_3,D2_4,D2_5,D2_6,D4_7,D4_8,D5_9,D6_10,D6_11,D7_12",VISHAY, BYM10-1000-E3/96
15,9,"LED UNI-COLOR GREEN, 570NM", CMD28-21VGC/TR8,LEDCMD28-21B,,2.1V,,"DOUT0,DOUT1,DOUT2,DOUT3,DOUT4,DOUT5,DOUT6,DOUT7,P3V3",VISUAL COMMUNICATIONS COMP., CMD28-21VGC/TR8
16,20,IND FERRITE BEADS, 600OHMS,L1206,25,,,"E0_0,E0_1,E0_2,E1_0,E1_2,E2_0,E2_1,E2_2,E3_0,E3_2,E4_0,E4_1,E4_2,E5_0,E5_2,E6_0,E6_1,E6_2,E7_0,E7_2",MURATA MANUFACTURING, BLM31PG601SN1L
17,9,CONN-PCB TERM BLK 2P ST, 25.161.0253,CNWEILAND25-161-0253,,,,"P0,P1,P2,P3,P4,P5,P6,P7,P9",WEILAND, 25.161.0253
18,1,CONN-PCB BERG JMPR ST MALE 2P, 69157-102HLF,CNBERG69157-102,,,,P10,AMPHENOL FCI, 69157-102HLF
