"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey"
"C1,C3,C4,C5,C8,C9,C10,C11","10nF","~","Capacitor_SMD:C_0805_2012Metric","8","","399-1158-1-ND"
"C2","100uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","","P19602CT-ND"
"C6,C7","2.2uF","~","Capacitor_SMD:C_0805_2012Metric","2","","445-1420-2-ND "
"D1,D2,D3,D4,D5,D6,D7","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_SMD:D_SOD-123","7","","1N4148W-FDITR-ND"
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","WM4300-ND, WM2000-ND, WM2200-ND"
"J2,J3","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","2","","WM4302-ND, WM2002-ND, WM2200-ND"
"R1,R4,R5,R6,R7,R9,R11,R12","10k","~","Resistor_SMD:R_0805_2012Metric","8","","311-10KARCT-ND"
"R2,R8","22k","~","Resistor_SMD:R_0805_2012Metric","2","","311-22KARCT-ND"
"R3,R10","1M","~","Resistor_SMD:R_0805_2012Metric","2","","311-1.0MARCT-ND"
"RV1,RV3","1M Pot","~","Potentiometer_THT:Potentiometer_Bourns_3339W_Horizontal","2","","3386H-1-105LF"
"RV2,RV4","5k","~","Potentiometer_THT:Potentiometer_Bourns_3339W_Horizontal","2","","3386H-502LF-ND"
"U1","LM7808_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_SMD:TO-252-3_TabPin2","1","","BA7808FP-E2TR-ND "
"U2,U3","LM324","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2","","296-14597-2-ND"
