Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Account,account,msdyn_approvalstatus,msdyn_approvalstatus,Approval status,Choice,Indicator of approval of MSM entity.,True,Simple,None,"Options:
700610000: Pending
700610001: Approved
Default: N/A",,
Account,account,msdyn_approvalstatusname,msdyn_approvalstatusName,N/A,Virtual,N/A,True,Simple,None,,,
Account,account,msdyn_companyname,msdyn_companyname,Company Name,Text,The name of a supplier,True,Simple,None,"Format: Text
Max length: 200",,
Account,account,msdyn_companyregistrationnumber,msdyn_companyregistrationnumber,Company Registration Number,Text,Unique identifier that is related to the value chain partner.,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_dataconnection,msdyn_dataconnection,Connection,Lookup,The connection that ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnection",,
Account,account,msdyn_dataconnectionname,msdyn_dataconnectionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_dataconnectionrefresh,msdyn_dataconnectionrefresh,Connection refresh,Lookup,The connection refresh which ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnectionrefresh",,
Account,account,msdyn_dataconnectionrefreshname,msdyn_dataconnectionrefreshName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 3500",,
Account,account,msdyn_datadefinition,msdyn_datadefinition,Sustainability data definition,Lookup,Lookup to corresponding data definition of account.,True,Simple,ApplicationRequired,"Targets:
msdyn_sustainabilitydatadefinition",,
Account,account,msdyn_datadefinitionname,msdyn_datadefinitionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_ecovadisassessment,msdyn_EcoVadisAssessment,EcoVadis Assessment,Lookup,EcoVadis Assessment,True,Simple,None,"Targets:
msdyn_ecovadisassessment",,
Account,account,msdyn_ecovadisassessmentname,msdyn_EcoVadisAssessmentName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_evid,msdyn_EVID,EVID,Text,Ecovadis id for supplier ecovadis rating.,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_industry,msdyn_industry,Industry,Lookup,Industry of the supplier,True,Simple,None,"Targets:
msdyn_industry",,
Account,account,msdyn_industryname,msdyn_industryName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 200",,
Account,account,msdyn_integrationid,msdyn_integrationid,Integration Id,Text,Integration id for supplier ecovadis rating.,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_issupplierprofilecomplete,msdyn_issupplierprofilecomplete,Profile status,Two options,Profile status,True,Simple,None,"True: Complete
False: Incomplete
Default Value: False",,
Account,account,msdyn_issupplierprofilecompletename,msdyn_issupplierprofilecompleteName,N/A,Virtual,N/A,True,Simple,None,,,
Account,account,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_reportingstartday,msdyn_reportingstartday,Reporting start day,Choice,The day on which the supplier's reporting year starts,True,Simple,None,"Options:
700610000: 1
700610001: 2
700610002: 3
700610003: 4
700610004: 5
700610005: 6
700610006: 7
700610007: 8
700610008: 9
700610009: 10
700610010: 11
700610011: 12
700610012: 13
700610013: 14
700610014: 15
700610015: 16
700610016: 17
700610017: 18
700610018: 19
700610019: 20
700610020: 21
700610021: 22
700610022: 23
700610023: 24
700610024: 25
700610025: 26
700610026: 27
700610027: 28
700610028: 29
700610029: 30
700610030: 31
Default: N/A",,
Account,account,msdyn_reportingstartdayname,msdyn_reportingstartdayName,N/A,Virtual,N/A,True,Simple,None,,,
Account,account,msdyn_reportingstartmonth,msdyn_reportingstartmonth,Reporting start month,Choice,The month in which the supplier's reporting year starts,True,Simple,None,"Options:
700610000: January
700610001: February
700610002: March
700610003: April
700610004: May
700610005: June
700610006: July
700610007: August
700610008: September
700610009: October
700610010: November
700610011: December
Default: N/A",,
Account,account,msdyn_reportingstartmonthname,msdyn_reportingstartmonthName,N/A,Virtual,N/A,True,Simple,None,,,
Account,account,msdyn_siccode,msdyn_siccode,SIC Code,Text,Standard Industrial Classification code assigned by the US government,True,Simple,None,"Format: Text
Max length: 100",,
Account,account,msdyn_suppliertier,msdyn_suppliertier,Supplier Tier,Text,Tier of Supplier,True,Simple,None,"Format: Text
Max length: 100",,
