TITLE: Bill of Materials
BOM NO: 05-046277-01-d2.csv
DATE: 09/30/2019
DESIGN: 02_046277d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_046277d\worklib\02_046277d_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_046277d,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_046277d,N/A,?,?,?,?,?,?,?
2,8,E012419,"CAP CER C0G(NP0), GENERAL PURPOSE"," 1000pF",C0402,5,50V,N/A,"C1,C5,C14,C35,C36,C68,C610,C611",MURATA," GRM1555C1H102JA01",REL,N/A,40302DG776,N/A,106_BIN2-2B,7002363,?,?
3,4,E019488,CAP CER X7R," 0.1uF",C0402,10,35V,N/A,"C10,C412,C413,C415",TDK," CGA2B3X7R1V104K050BB",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,E019647,CAP CER X7R," 0.0033uF",C0603,10,50V,N/A,"C11,C13",YAGEO," CC0603KRX7R9BB332",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,4,E022064,CAP MULTILAYER CER X5R," 47uF",C0805H60,20,10V,N/A,"C12,C15,C53,C54",TDK," C2012X5R1A476M125AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
6,6,E019080,"CAP CER MULTILAYER X5R, FOR SM-TH COMBO FOOTPRINT USE ALT_SYMBOLS"," 10uF",C0805,10,25V,N/A,"C16,C17,C41,C42,C44,C45",TDK," C2012X5R1E106K085AC",REL,N/A,N/A,N/A,N/A,7002497,?,?
7,1,E021512,CAP CER X5R," 22uF",C0603,20,6.3V,N/A,C18,TDK," C1608X5R0J226M080AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,4,E034109,CAP CER 22UF 10V 20% X7T 0805," 22UF",C0805H60,20,10V,N/A,"C19,C419,C420,C424",MURATA," GRM21BD71A226ME44L",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,12,E011561,CAP CER X5R 0402," 1uF",C0402,10,6.3V,N/A,"C7,C21,C23,C312,C315,C323,C659,C660,C661,C665,C666,C667",AVX," 04026D105KAT2A",REL,N/A,N/A,N/A,N/A,7002749,?,?
11,2,E024440,CAP BROADBAND MULTILAYER X7R CER," 0.01UF",C0402,10,16V,N/A,"C22,C24",AMERICAN TECHNICAL CERAMICS," 520L103KT16T",REL,N/A,N/A,N/A,N/A,N/A,?,?
12,9,E033698,CAP CER X7R," 1UF",C0603,10,10V,N/A,"C25,C27,C30,C40,C55,C65,C510,C515,C518",SAMSUNG," CL10B105KP8NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
13,23,E018646,CAP CER X5R," 10uF",C0603,20,10V,N/A,"C28,C29,C50,C51,C52,C56,C310,C313,C317,C513,C514,C516,C522,C525,C656,C657,C658,C662,C663,C664,C668,C669,C670",TDK," C1608X5R1A106M080AC",REL,N/A,N/A,N/A,N/A,7002473,?,?
14,11,E006763,"CAP CER X7R, GENERAL PURPOSE"," 100pF",C0201,10,25V,N/A,"C4,C34,C38,C39,C311,C340,C341,C632,C633,C638,C639",MURATA," GRM033R71E101KA01D",REL,A004-0030-004,N/A,N/A,528_CAB3,7002390,?,?
15,41,E011567,"CAP CER X5R, GENERAL PURPOSE"," 0.1uF",C0201,10,6.3V,N/A,"C8,C81,C82,C83,C84,C85,C86,C87,C88,C89,C314,C327,C328,C330,C331,C333,C334,C344,C345,C346,C347,C531,C532,C534,C537,C539,C541,C543,C545,C546,C554,C558,C654,C655,C810,C811,C812,C813,C814,C815,C816",MURATA," GRM033R60J104KE19D",REL,N/A,40302JH901,N/A,1646_CAB3,N/A,?,?
16,4,E012085,CAP CHIP CER X7R 0603," 0.47uF",C0603,10,16V,N/A,"C316,C325,C326,C549",MURATA," GCM188R71C474KA55D",REL,A004-0012-022,N/A,N/A,1364_CAB3,7002224,?,?
17,2,E007353,CAP IDC LOW-INDUCTANCE ARRAY X7R," 0.047uF",C0508IDC,N/A,N/A,N/A,"C32,C33",AVX," W2L16C473MAT1S",REL,A004-0022-004,N/A,N/A,N/A,7003200,?,?
18,1,E021627,"CAP CER X5R, GENERAL PURPOSE"," 10uF",C0603,20,6.3V,N/A,C338,MURATA," GRM188R60J106ME84",REL,N/A,N/A,N/A,N/A,N/A,?,?
19,1,E006762,"CAP CER X7R, GENERAL PURPOSE"," 0.001uF",C0201,10,25V,N/A,C339,MURATA," GRM033R71E102KA01D",REL,A004-0030-005,40302DG708,N/A,533_CAB3,N/A,?,?
20,2,E007314,CAP CHIP BROADBAND DC BLOCK," 2400PF",C0803H60,N/A,50V,N/A,"C348,C349",DIELECTRIC LABS," C08BL242X-5ZN-X0B",REL,A004-0008-065,N/A,N/A,N/A,7002950,?,?
21,2,E028140,"CAP CER X7S, FOR AUTOMOTIVE"," 1UF",C0402,10,10V,N/A,"C410,C411",MURATA," GCM155C71A105KE38D",REL,N/A,N/A,N/A,N/A,N/A,?,?
22,4,E010382,"CAP CER X5R, GENERAL PURPOSE"," 4.7uF",C0603,10,6.3V,N/A,"C59,C426,C432,C651",MURATA," GRM188R60J475KE19",NON-PREF,N/A,N/A,N/A,1391_CAB3,7003191,?,?
23,5,E030046,CAP CER X5R," 1UF",C0402,20,16V,N/A,"C427,C429,C430,C434,C435",SAMSUNG," CL05A105MO5NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E033917,CAP CER 2.2UF 10 % 25V X5R 0805," 2.2UF",C0805H53,10,25V,N/A,C433,SAMSUNG," CL21A225KAFNNNG",REL,N/A,N/A,N/A,N/A,N/A,?,?
26,2,E025704,"CAP MONO CER CHIP FOR AUTOMOTIVE, X7R"," 0.047UF",C0402,10,25V,N/A,"C67,C437",MURATA," GCM155R71E473KA55D",REL,N/A,N/A,N/A,N/A,N/A,?,?
27,1,E033142,"CAP CER X7U, GENERAL PURPOSE"," 47UF",C1206H71,20,6.3V,N/A,C443,MURATA," GRM31CE70J476ME15L",REL,N/A,N/A,N/A,ADD_TO_STOCK,N/A,?,?
28,1,E033215,"CAP CER X5R, SMPS FILTERING"," 47UF",C1206H71,20,16V,N/A,C444,TAIYO YUDEN," EMK316BBJ476ML-T",REL,N/A,N/A,N/A,N/A,N/A,?,?
29,1,E022491,"CAP CER X6T, GENERAL PURPOSE"," 4.7UF",C0402,10,10V,N/A,C446,MURATA," GRM155D81A475KE15D",NON-PREF,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E012650,CAP CER X7R 0603," 0.039uF",C0603,10,16V,N/A,C46,YAGEO," CC0603KRX7R7BB393",REL,A004-0012-013,N/A,N/A,N/A,7003114,?,?
31,2,E019653,CAP CER X7R," 0.018uF",C0402,10,16V,N/A,"C47,C49",VISHAY," VJ0402Y183KXJCW1BC",REL,N/A,N/A,N/A,N/A,7002650,?,?
32,1,E006445,CAP CER CHIP," 0.0047uF",C0402,5,50V,N/A,C48,KEMET," C0402C472J5RAC",REL,ADD_TO_STOCK_218,N/A,N/A,N/A,7003147,?,?
33,2,E000690,CAP TANT," 10uF",C3216,N/A,N/A,N/A,"C526,XC4",AVX," TAJA106K010RNJ",REL,A004-0007-053,40302JH083,197130,N/A,N/A,?,?
34,1,E027486,CAP TANT CHIP," 47UF",C3528,20,16V,N/A,C548,AVX CORPORATION," TCNL476M016R0250",REL,N/A,N/A,N/A,N/A,N/A,?,?
35,2,E019095,"CAP TANT J-LEAD, RESIN-MOLDED CHIP"," 47uF",C3216,N/A,N/A,N/A,"C564,C566",AVX," F931A476KAA",REL,N/A,N/A,N/A,N/A,7003275,?,?
36,1,E034293,CAP CER 47UF 10V 10% X7R 1210," 47UF",C1210-2,10,10V,N/A,C567,TAIYO YUDEN," LMK325B7476KM-PR",REL,N/A,N/A,N/A,N/A,N/A,?,?
37,2,E033656,"CAP CER X5R, GENERAL PURPOSE"," 1UF",C0402H22,10,25V,N/A,"C57,C58",SAMSUNG," CL05A105KA5NQNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
38,2,E020112,CAP CER X5R," 4.7uF",C0603,10,16V,N/A,"C6,C9",TDK," C1608X5R1C475K080AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
39,1,E012333,CAP CER CHIP X5R 0402," 2.2uF",C0402,20,6.3V,N/A,C60,TDK," C1005X5R0J225M",REL,N/A,N/A,N/A,N/A,7002806,?,?
40,1,E012597,CAP CER X7R 0402," 0.0012uF",C0402,5,25V,N/A,C61,AVX," 04023C122JAT2A",REL,N/A,N/A,N/A,N/A,7002572,?,?
41,4,E017331,"CAP CER X5R, GENERAL PURPOSE"," 0.1uF",C0201,20,16V,N/A,"C612,C614,C619,C622",MURATA," GRM033R61C104ME84D",REL,N/A,N/A,N/A,N/A,7002112,?,?
42,8,E022849,"CAP CER C0G(NP0), GENERAL PURPOSE"," 10pF",C0201,5,25V,N/A,"C616,C617,C618,C620,C636,C637,C643,C648",MURATA," GRM0335C1E100JA01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
43,1,E020705,CAP CER X7R," 0.039uF",C0402,10,10V,N/A,C62,AVX," 0402ZC393KAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
44,4,E026353,CAP BROADBAND DC BLOCKS LOW LOSS RESONANCE FREE PERFORMANCE," 120PF",C0402,N/A,50V,N/A,"C623,C626,C628,C631",DIELECTRIC LABORATORIES," C04BL121X-5SN-X0T",REL,N/A,N/A,N/A,N/A,N/A,?,?
45,2,E024302,"CAP MONO CER CHIP FOR AUTOMOTIVE, C0G"," 100pF",C0402,5,50V,N/A,"C63,C77",MURATA," GCM1555C1H101JA16D",REL,N/A,N/A,N/A,N/A,7000684,?,?
46,1,E015313,CAP CER MULTILAYER X7R," 0.022uF",C0402H22,10,50V,N/A,C64,TDK," CGA2B3X7R1H223K",REL,N/A,N/A,N/A,N/A,7002006,?,?
47,3,E026829,CAP CER CHIP X5R," 0.1UF",C0402,10,10V,N/A,"C645,C649,C818",AVX CORPORATION," 0402ZD104KAT2A",REL,N/A,N/A,N/A,N/A,7000278,?,?
48,1,E033837,CAP CER 390PF 50V 5% C0G NP0 0402," 390PF",C0402,5,50V,N/A,C66,MURATA," GCM1555C1H391JA16D",REL,N/A,N/A,N/A,N/A,N/A,?,?
49,1,E015937,CAP RF/MICROWAVE C0G," 10pF",C0402,2,50V,N/A,C69,AVX," 04025U100GAT2A",REL,N/A,ADD_TO_STOCK,N/A,N/A,7002457,?,?
