TITLE: Bill of Materials
BOM NO: 05_040335-b.csv
DATE: 07/01/2016
DESIGN: 02_040335b_top
TEMPLATE: Z:\allegro\v166_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_040335b\worklib\02_040335b_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_040335b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_040335b,N/A,?,?,?,?,?,?,?
3,60,E007200,CAP CER X7R 0402," 0.1UF",C0402,10,16V,?,"C101,C103-C107,C109,C111,C113,C115,C118,C120,C122,C124,C126,C128,C129,C131,C133,C134,C201,C202,C205-C207,C210,C215,C303,C309,C310,C313,C321-C325,C601-C622,C705,C713",MURATA," GRM155R71C104KA88D",REL,A004-0011-066,?,?,49_CAB3,?,?,?
4,1,E016653,CAP CER MULTILAYER X5R," 0.47uF",C0402,10,16V,?,C141,TDK," C1005X5R1C474K",REL,?,?,?,?,?,?,?
5,2,E012596,CAP CER X7R 0402," 4700pF",C0402,10,25V,?,"C2,C300",MURATA," GRM155R71E472KA01D",REL,?,?,?,?,7003205,?,?
6,8,E024915,CAP CER NP0 ," 12PF",C0402H22,5,50V,?,"C203,C204,C208,C209,C213,C214,C305,C306",MURATA," GRM1555C1H120JA01D ",REL,?,?,?,?,?,?,?
7,2,E011429,CAP MONO CER 0402 SMD X5R," 1uF",C0402,10,10V,?,"C211,C212",MURATA," GRM155R61A105KE15D",REL,ADD_TO_STOCK,?,?,49_CAB3,?,?,?
8,9,E011429,CAP MONO CER 0402 SMD X5R," 1uF",C0402,10,10V,?,"C301,C704,C706,C712,C714,C717,C719,C725,C728",MURATA," GRM155R61A105KE15D",REL,ADD_TO_STOCK,?,?,?,?,?,?
9,10,E006166,CAP CER MONOLITHIC," 10UF",C0805H53,10,16V,?,"C302,C701,C703,C711,C716,C718,C720,C724,C726,C727",MURATA," GRM21BR61C106KE15L",REL,A004-0008-060,?,?,1447_CAB3,?,?,?
10,1,E006877,CAP CER X5R," 2.2uF",C0603,10,6.3V,?,C320,MURATA," GRM188R60J225KE19D",REL,A004-0012-064,?,?,?,7002805,?,?
11,2,E011572,CAP ALUM ELECTROLYTIC," 470uF",CPLRAD197D394H492LD24,20,16V,?,"C700,C702",PANASONIC," EEUFM1C471",REL,?,?,?,?,7003246,?,?
12,2,E006534,CAP CER CHIP," 22UF",C0805H53,20,6.3V,?,"C707,C715",MURATA," GRM21BR60J226ME39L",REL,ADD_TO_STOCK_220,?,?,?,?,?,?
13,1,E006532,CAP CER CHIP," 100UF",C1210,20,6.3V,?,C723,MURATA," GRM32ER60J107ME20L",REL,ADD_TO_STOCK_218,?,?,1624_CAB3,?,?,?
14,2,E012952,DIODE SCHOTTKY BARRIER RECT," B230A-13-F",SMA-2,N/A,30V,?,"D1,CR701",DIODES INCORPORATED," B230A-13-F",REL,?,?,?,?,7003743,?,?
15,7,E015386,LED SMD 0603 RED," TLMS1100-GS08 (red)",LED0603,N/A,2.1V,?,DS301-DS307,VISHAY," TLMS1100-GS08",REL,?,?,?,?,7004240,?,?
16,4,E015362,INDUCTOR CHIP FERRITE BEAD," 600OHM",L0402,N/A,?,?,E109-E112,MURATA," BLM15AX601SN1D",REL,?,?,?,?,7005297,?,?
17,2,E017348,INDUCTOR CHIP FERRITE BD," 75OHM",L0402,25,?,?,"E113,E114",MURATA," BLM15BA750SN1D",REL,?,?,?,?,7005321,?,?
18,3,E000916,CONN-PCB COAX SMA ST," 142-0701-201",CNJOHNSON142-0701-201,?,?,?,"J201,J204,J206",JOHNSON," 142-0701-201",REL,A012-0001-033,40313JH541,?,?,?,?,?
20,14,E014551,CONN-PCB SMA 50 OHM END LAUNCH JACK RCPT," 142-0701-851",CNSMAL562W375H166,?,?,?,"J601,J603,J605,J607,J609,J611,J613,J615,J617-J622",CINCH," 142-0701-851",REL,?,?,?,?,?,?,?
22,1,E006957,INDUCTOR SM," 1uH",IND-TDK-VLS3012T,30,?,?,L700,TDK," VLS3012T-1R0N2R2",REL,ADD_TO_STOCK35,?,?,?,7004989,?,?
23,2,E015259,INDUCTOR POWER SMD," 4.7uH",LSML146W138H47,20,?,?,"L701,L703",TDK," VLF4012AT-4R7M1R1",REL,?,?,?,?,7005196,?,?
24,1,E010323,INDUCTOR POWER SHIELDED WIREWOUND," 10uH",IND-TDK-VLS3012T,20,?,?,L705,TDK," VLS3012T-100MR72",REL,?,40915JH227,?,?,7004866,?,?
25,23,E000812,CONN-PCB BERG HDR ST MALE 3P," SAMTECTSW10608GS3PIN",CNBERG1X3H205LD36,?,?,?,"P101-P103,P207-P212,P402-P404,P406-P408,P410-P412,P414-P416,P701,P703",SAMTEC," TSW-103-08-G-S",REL,A012-0003-075,?,?,?,?,?,?
26,8,E006296,CONN-PCB HEADER 2 POS," TSW-102-08-G-S",CNSAMTEC1X2H330LD36,?,?,?,"P202,P204,P206,P311,P312,P702,P704,P705",SAMTEC INC.," TSW-102-08-G-S",REL,ADD_TO_STOCK_2,?,?,?,?,?,?
27,1,E006327,CONN-PCB USB TYPE B R/A THRU HOLE," 4-1734376-8",CNAMP4-1734376-8A,?,?,?,P300,AMP," 4-1734376-8",REL,A012-0004-011,40313JH086,?,?,?,?,?
28,3,E006383,CONN-PCB BERG HDR DOUBLE STR MALE 6P," TSW-103-08-G-D",CNSAMTEC2X3H330LD36,?,?,?,P303-P305,SAMTEC," TSW-103-08-G-D",REL,ADD_TO_STOCK_1,?,?,?,6002406,?,?
29,1,E000737,CONN-PCB BERG HDR ST MALE 14P," TSW-107-08-G-D",CNBERG2X7H330LD36,?,?,?,P306,SAMTEC," TSW-107-08-G-D",REL,A012-0003-045,?,?,?,6002430,?,?
30,1,E006314,CONN-PCB DC POWER JACK TH," PJ-102A",CNCUI-PJ-102A,?,?,?,P700,CUI," PJ-102A",REL,A012-0020-015,40313JH120,?,1451_CAB3,6002241,?,?
31,31,E003438,RES CHIP SMD JMPR," 0",R0402,5,?,1/16W,"R2,R102,R103,R117,R202,R210,R221,R243-R245,R328-R333,R350,R605,R613,R621,R629,R637,R645,R653,R661,R670,R671,R679,R680,R688,R689",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,?,?,1138_CAB3,7000282,?,?
32,15,E003763,RES PRECISION THICK FILM CHIP R0402," 1K",R0402,1,?,1/10W,"R119-R125,R300,R302,R310-R315",PANASONIC," ERJ-2RKF1001X",PREF,A003-0035-019,?,?,751_CAB3,7001202,?,?
34,1,E003462,RES FILM SMD 0402," 330",R0402,5,?,1/16W,R222,PANASONIC," ERJ-2GEJ331X",REL,A003-0021-026,41816JH1133,?,1138_CAB3,7007297,?,?
35,3,E003751,RES PRECISION THICK FILM CHIP R0402," 10K",R0402,1,?,1/16W,"R228,R229,R241",PANASONIC," ERJ-2RKF1002X",PREF,A003-0035-004,41816DG719,?,751_CAB3,7000582,?,?
