TITLE: Bill of Materials
BOM NO: 05-072704-01-b.csv
DATE: 07/25/2024
DESIGN: 02_072704b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_072704b\worklib\02_072704b_top\bom\callouts.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_072704b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_072704b,N/A,?,?,?,?,?,?,?
2,24,E027519,CAP CER 0.1uF 16V 10% X7R 0402," 0.1uF",C0402,10,16V,N/A,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C41,C42,C43,C44,C45,C46,C47,C48,C51,C60,C109,C115,C116,C122",KYOCERA AVX," 530L104KT16T",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,3,E032368,CAP CER 47uF 6.3V 20% X5R 0603," 47uF",C0603,20,6.3V,N/A,"C11,C64,C71",MURATA," GRM188R60J476ME15D",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,E025259,CAP CER 1uF 16V 10% X5R 0402," 1uF",C0402H22,10,16V,N/A,"C23,C24",TAIYO YUDEN," EMK105BJ105KV-F",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,16,E033897,CAP CER 1uF 10V 10% X5R 0402," 1uF",C0402,10,10V,N/A,"C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C54,C65",YAGEO," CC0402KRX5R6BB105",REL,N/A,N/A,N/A,N/A,N/A,?,?
6,1,E063520,CAP ALUM ELECT 22UF 63V 20% 6.3X7.7MM AEC-Q200 1.2 OHM 120MA 2000H," 22UF",CPLSMSQ260H315,20,63V,N/A,C49,PANASONIC," EEEFN1J220XP",REL,N/A,N/A,N/A,N/A,N/A,?,?
7,2,E028468,CAP CER 4.7uF 50V 10% X7R 0805," 4.7uF",C0805H53,10,50V,N/A,"C50,C53",MURATA," GRM21BZ71H475KE15L",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,1,E061458,CAP CER 100UF 6.3V 10% X5R 1206," 100UF",C1206H71,10,6.3V,N/A,C52,MURATA," GRM31CR60J107KEA8L",REL,N/A,N/A,N/A,N/A,N/A,?,?
9,7,E020928,CAP CER 10uF 10V 20% X5R 0402," 10uF",C0402,20,10V,N/A,"C55,C56,C57,C66,C68,C69,C70",SAMSUNG," CL05A106MP5NUNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,1,E027484,CAP CER 2.2uF 10V 10% X5R 0402," 2.2uF",C0402H22,10,10V,N/A,C58,MURATA," GRM155R61A225KE95D",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,3,E008005,LED 635NM RED DIFF 1206 SMD," SML-LX1206IW-TR",LEDSML126W63H43,N/A,N/A,N/A,"DS2,DS8,DS9",LUMEX," SML-LX1206IW-TR",REL,ADD_TO_STOCK,N/A,N/A,1751_CAB3,N/A,?,?
12,1,E015998,IND CHIP FERRITE BEAD," 30OHM",L0402,25,N/A,N/A,E1,MURATA MANUFACTURING," BLM15AX300SN1D",REL,N/A,N/A,N/A,1725_CAB3,7005137,?,?
13,9,E014551,"CONN-PCB SMA 50 OHM END LAUNCH JACK RCPT, FOR HIGH SPEED APP USE ALT_SYMBOLS"," 142-0701-851",CNSMAL562W375H166,N/A,N/A,N/A,"J1,J2,J3,J4,J5,J6,J7,J8,J9",CINCH," 142-0701-851",REL,N/A,N/A,N/A,N/A,6003593,?,?
14,11,E058520,CONN-PCB  JACK RA 0HZ TO 4GHZ 100 OHM CIRCULAR TWINAX," CJT-T-P-HH-RA-TH1",CNSAMTECCJT-T-P-GF-RA-TH1,N/A,200V,N/A,"P1,P2,P3,P8,P10,P11,P12,P13,P14,P15,P25",SAMTEC INC.," CJT-T-P-HH-RA-TH1",REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E020477,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-106-03-G-S",CNSAMTECSSQ-106-XX-X-S,N/A,N/A,N/A,P16,SAMTEC," SSQ-106-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
16,2,E020478,CONN-PCB RCPT 25MIL SQ POST 2.54MM P," SSQ-108-03-G-S",CNSAMTECSSQ-108-XX-X-S,N/A,N/A,N/A,"P17,P18",SAMTEC," SSQ-108-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
17,1,E006296,CONN-PCB HEADER 2 POS," TSW-102-08-G-S",CNSAMTEC1X2H330LD36,N/A,N/A,N/A,P19,SAMTEC," TSW-102-08-G-S",REL,ADD_TO_STOCK_2,N/A,N/A,N/A,N/A,?,?
18,1,E006314,CONN-PCB DC POWER JACK TH," PJ-102A",CNCUI-PJ-102A,N/A,N/A,N/A,P4,CUI," PJ-102A",REL,A012-0020-015,40313JH120,N/A,1451_CAB3,6002241,?,?
19,1,E020479,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-110-03-G-S",CNSAMTECSSQ-110-XX-X-S,N/A,N/A,N/A,P5,SAMTEC," SSQ-110-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
20,1,E000812,CONN-PCB BERG HDR ST MALE 3P," TSW-103-08-G-S",CNBERG1X3H205LD36,N/A,N/A,N/A,P6,SAMTEC," TSW-103-08-G-S",REL,A012-0003-075,N/A,N/A,N/A,N/A,?,?
21,1,E003750,RES SMD 49.9 Ohm 1% 1/10W 0402 AEC-Q200," 49.9",R0402,1,N/A,1/10W,R1,PANASONIC," ERJ-2RKF49R9X",REL,A003-0035-003,41816DG208,N/A,1023_CAB3,7007757,?,?
22,4,E032891,RES SMD 255K Ohm 1% 1/10W 0402 AEC-Q200," 255K",R0402,1,N/A,1/10W,"R10,R11,R14,R15",PANASONIC," ERJ-2RKF2553X",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,9,E017855,RES SMD 100K Ohm 1% 1/16W 0402," 100K",R0402,1,50V,1/16W,"R8,R9,R12,R13,R37,R40,R101,R102,R105",MULTICOMP (SPC)," MC 0.0625W 0402 1% 100K",REL,N/A,N/A,N/A,N/A,7005772,?,?
25,2,E006678,RES SMD 620 Ohm 5% 1/10W 0402 AEC-Q200," 620",R0402,5,N/A,1/10W,"R99,R106",PANASONIC," ERJ-2GEJ621X",REL,A003-0021-036,N/A,N/A,N/A,7008210,?,?
27,8,E003753,RES SMD 200 Ohm 1% 1/10W 0402 AEC-Q200," 200",R0402,1,N/A,1/10W,"R2,R3,R4,R5,R6,R7,R16,R17",PANASONIC," ERJ-2RKF2000X",REL,A003-0035-007,41816DG206,N/A,N/A,N/A,?,?
