TITLE: Bill of Materials
BOM NO: 05-072716-01-b.csv
DATE: 05/27/2024
DESIGN: 02_072716b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_072716b\worklib\02_072716b_top\bom\mechanical.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_072716b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_072716b,N/A,?,?,?,?,?,?,?
2,3,E027519,CAP CER 0.1uF 16V 10% X7R 0402," 0.1uF",C0402,10,16V,N/A,"C1,C2,C3",KYOCERA AVX," 530L104KT16T",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,16,E000916,CONN-PCB COAX SMA ST," 142-0701-201",CNJOHNSON142-0701-201,N/A,N/A,N/A,"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J25,J26,J27,J28,J31,J32",CINCH CONNECTIVITY SOLUTIONS," 142-0701-201",REL,A012-0001-033,40313JH541,N/A,N/A,N/A,?,?
4,13,E058520,CONN-PCB  JACK RA 0HZ TO 4GHZ 100 OHM CIRCULAR TWINAX," CJT-T-P-HH-RA-TH1",CNSAMTECCJT-T-P-GF-RA-TH1,N/A,200V,N/A,"P1,P2,P3,P4,P5,P6,P7,P8,P39,P43,P46,P51,P54",SAMTEC INC.," CJT-T-P-HH-RA-TH1",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,6,E000812,?," TSW-103-08-G-S",CNBERG1X3H205LD36,?,?,?,"P40,P41,P44,P45,P52,P53",SAMTEC," TSW-103-08-G-S",?,?,?,?,?,?,?,?
6,3,E006296,CONN-PCB HEADER 2 POS," TSW-102-08-G-S",CNSAMTEC1X2H330LD36,N/A,N/A,N/A,"P66,P67,P69",SAMTEC," TSW-102-08-G-S",REL,ADD_TO_STOCK_2,N/A,N/A,N/A,N/A,?,?
7,6,E003750,RES SMD 49.9 Ohm 1% 1/10W 0402 AEC-Q200," 49.9",R0402,1,N/A,1/10W,"R1,R2,R3,R4,R5,R6",PANASONIC," ERJ-2RKF49R9X",REL,A003-0035-003,41816DG208,N/A,1023_CAB3,7007757,?,?
8,3,E006308,XFMR RF 1:1," MABA-007159-000000",ETC1,N/A,N/A,N/A,"T8,T9,T11",MACOM TECHNOLOGY SOLUTIONS," MABA-007159-000000",REL,A005-0001-133,N/A,N/A,1038_CAB3,N/A,?,?

Mechanical Parts
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,33,M017967,"SOCKET, 2POS, 0.100 PITCH,CONN SHUNT BLK OPEN TOP"," ?",JPF1X2L200W100H550P100,?,?,?,?,SAMTEC," SNT-100-BK-G-H",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,4,M000189,"STANDOFF, AL RND, 4-40 X 3/4"," ?",N/A,?,?,?,?,MCMASTER-CARR," 93330A437",REL,A030-0016-003,N/A,N/A,N/A,N/A,?,?
4,4,M042082,"SCREW MACHINE, PAN HEAD PHILLIPS WITH LOCK WASHER, 4-40, 1/4 INCH"," ?",N/A,?,?,?,?,MCMASTER CARR," 95345A023",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 Callouts File:C:\tmp\20_072716b\worklib\02_072716b_top\bom\mechanical.callouts

