TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-071515-01-b.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/17/2023,,,,,,,,,,,,,,,,,,,
DESIGN: 02_071515b_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_071515b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_071515b,N/A,?,?,?,?,?,?,?
2,48,E033331,CAP CER 0.1uF 25V 10% X5R 0402 AEC-Q200, 0.1uF,C0402,10,25V,N/A,"C1,C2,C3,C5,C6,C7,C8,C37,C42,C47,C62,C67,C68,C72,C73,C75,C77,C78,C82,C83,C87,C88,C89,C91,C93,C96,C98,C100,C104,C112,C118,C122,C134,C138,C142,C153,C156,C201,C202,C215,C218,C229,C242,C243,C248,C251,C252,C253",TAIYO YUDEN, TMK105BJ104KVHF,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,41,E041205,CAP CER 0.01uF 10V 10% X7R 0201 AEC-Q200, 0.01uF,C0201,10,10V,N/A,"C9,C10,C12,C14,C16,C18,C21,C23,C25,C29,C31,C33,C35,C64,C70,C80,C85,C86,C92,C97,C101,C105,C107,C108,C113,C117,C121,C125,C127,C128,C132,C136,C137,C141,C145,C147,C149,C152,C245,C246,C247",MURATA, GCM033R71A103KA03D,REL,N/A,N/A,N/A,N/A,N/A,?,?
4,3,E012699,CAP CER 1000pF 200V 5% X7R 0603, 1000pF,C0603,5,200V,N/A,"C94,C102,C162",AVX, 06032C102JAT2A,REL,N/A,N/A,N/A,N/A,7002350,?,?
5,22,E035987,CAP CER 0.47uF 10V 10% X7S 0402 AEC-Q200, 0.47uF,C0402,10,10V,N/A,"C59,C90,C95,C99,C103,C110,C111,C114,C115,C116,C119,C120,C124,C130,C140,C144,C148,C150,C155,C161,C164,C165",MURATA, GCM155C71A474KE36D,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,23,E041210,CAP CER 0.22uF 25V 10% X7R 0402 AEC-Q200 LOW ESR, 0.22uF,C0402,10,25V,N/A,"C58,C60,C63,C65,C69,C71,C74,C76,C79,C81,C84,C106,C123,C126,C131,C135,C139,C143,C146,C151,C154,C157,C163",TDK, CGA2B3X7R1E224K050BB,REL,N/A,N/A,N/A,N/A,N/A,?,?
7,14,E028141,CAP CER 0.1uF 16V 10% X7R 0402 AEC-Q200, 0.1uF,C0402,10,16V,N/A,"C30,C34,C36,C39,C40,C45,C109,C129,C133,C178,C183,C186,C188,C240",MURATA, GCM155R71C104KA55D,REL,N/A,N/A,N/A,N/A,N/A,?,?
8,11,E040074,CAP CER 10uF 16V 10% X7S 0805 AEC-Q200 LOW ESR, 10uF,C0805H55,10,16V,N/A,"C11,C13,C22,C24,C26,C49,C50,C52,C54,C55,C57",TDK, CGA4J1X7S1C106K125AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,2,E033298,CAP CER 4.7uF 50V 10% X7R 1206 AEC-Q200, 4.7uF,C1206H71,10,50V,N/A,"C15,C17",TDK, CGA5L3X7R1H475K160AE,REL,N/A,N/A,N/A,N/A,N/A,?,?
10,1,E039350,CAP CER 4.7uF 35V 10% X5R 0603, 4.7uF,C0603,10,35V,N/A,C158,MURATA, GRM188R6YA475KE15D,REL,N/A,N/A,N/A,N/A,N/A,?,?
11,17,E030894,CAP CER 0.01uF 25V 10% X7R 0402 AEC-Q200, 0.01uF,C0402,10,25V,N/A,"C28,C32,C46,C159,C160,C170,C171,C173,C174,C175,C176,C180,C181,C182,C184,C189,C244",MURATA, GCM155R71E103KA37D,REL,N/A,N/A,N/A,N/A,N/A,?,?
12,2,E033384,CAP CER 27pF 50V 5% C0G 0402 AEC-Q200, 27pF,C0402,5,50V,N/A,"C166,C168",TAIYO YUDEN, UMK105CG270JVHF,REL,N/A,N/A,N/A,N/A,N/A,?,?
13,9,E018707,CAP CER 0.1uF 16V 10% X7R 0402, 0.1uF,C0402,10,16V,N/A,"C172,C199,C200,C233,C234,C235,C236,C237,C238",KEMET, C0402C104K4RACTU,REL,N/A,N/A,N/A,N/A,7002106,?,?
14,3,E033351,CAP CER 10uF 10V 20% X5R 0603 AEC-Q200, 10uF,C0603,20,10V,N/A,"C44,C177,C239",TAIYO YUDEN, LMK107BBJ106MAHT,REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E048331,CAP CER 0.1UF 50V 10% X7R 0402 AEC-Q200, 0.1UF,C0402,10,50V,N/A,C179,MURATA, GCM155R71H104KE02D,REL,N/A,N/A,N/A,N/A,N/A,?,?
16,3,E034981,CAP CER 4.7uF 10V 10% X5R 0603 AEC-Q200, 4.7uF,C0603,10,10V,N/A,"C38,C185,C187",TAIYO YUDEN, LMK107BJ475KAHT,REL,N/A,N/A,N/A,N/A,N/A,?,?
17,2,E034669,CAP CER 100uF 6.3V 20% X5R 1210 AEC-Q200, 100uF,C1210H106,20,6.3V,N/A,"C19,C20",MURATA, GRT32ER60J107ME13L,REL,N/A,N/A,N/A,N/A,N/A,?,?
18,3,E033329,CAP CER 10uF 50V 10% X7R 1210 AEC-Q200, 10uF,C1210-2,10,50V,N/A,"C190,C203,C205",AVX CORPORATION, 12105C106K4T2A,REL,N/A,N/A,N/A,N/A,N/A,?,?
19,2,E035311,CAP CER 0.22uF 16V 10% X7R 0402 AEC-Q200, 0.22uF,C0402,10,16V,N/A,"C191,C192",MURATA, GCM155R71C224KE02D,REL,N/A,N/A,N/A,N/A,N/A,?,?
20,1,E040139,CAP CER 3.3pF 50V 0.05pF C0G 0402 AEC-Q200 LOW ESR, 3.3pF,C0402,0.05pF,50V,N/A,C193,MURATA, GCQ1555C1H3R3WB01D,REL,N/A,N/A,N/A,N/A,N/A,?,?
21,5,E030857,CAP CER 22uF 10V 10% X7R 1206 AEC-Q200, 22uF,C1206H71,10,10V,N/A,"C194,C197,C224,C227,C230",MURATA, GCM31CR71A226KE02L,REL,N/A,N/A,N/A,N/A,N/A,?,?
22,1,E040140,CAP CER 270pF 50V 10% X7R 0402 AEC-Q200, 270pF,C0402,10,50V,N/A,C195,MURATA, GCM155R71H271KA37D,REL,N/A,N/A,N/A,N/A,N/A,?,?
23,5,E044891,CAP CER 1uF 100V 10% X7R 1206 AEC-Q200, 1uF,C1206H71,10,100V,N/A,"C196,C198,C206,C212,C228",MURATA, GCJ31CR72A105KA01L,REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E034252,CAP CER 1500pF 50V 10% X7R 0402 AEC-Q200, 1500pF,C0402,10,50V,N/A,C204,SAMSUNG, CL05B152KB5VPNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
25,1,E031923,CAP CER 0.1uF 25V 10% X7R 0603 AEC-Q200 LOW ESR, 0.1uF,C0603,10,25V,N/A,C207,TDK, CGA3E2X7R1E104K080AA,REL,N/A,N/A,N/A,N/A,N/A,?,?
27,1,E033808,CAP CER 100pF 50V 1% C0G 0402 AEC-Q200, 100pF,C0402,1,50V,N/A,C209,MURATA, GCM1555C1H101FA16D,REL,N/A,N/A,N/A,N/A,N/A,?,?
28,1,E011821,CAP CER 47pF 50V 5% C0G 0402 AEC-Q200, 47pF,C0402,5,50V,N/A,C210,MURATA, GCM1555C1H470JA16D,REL,N/A,N/A,N/A,N/A,7003267,?,?
29,9,E038014,CAP CER 47uF 25V 10% X7R 1210, 47uF,C1210H95,10,25V,N/A,"C211,C213,C214,C216,C217,C219,C221,C223,C226","CAPAX TECHNOLOGIES, INC.", 1210X476K250SNT,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E040073,CAP CER 2.2pF 50V 0.25% C0G 0402 AEC-Q200 LOW ESR, 2.2pF,C0402,0.25,50V,N/A,C220,TDK, CGA2B2C0G1H2R2C050BA,REL,N/A,N/A,N/A,N/A,N/A,?,?
31,3,E026260,CAP CER 4.7uF 35V 10% X7R 0805 AEC-Q200 LOW ESR, 4.7uF,C0805H60,10,35V,N/A,"C222,C225,C231",TDK, CGA4J1X7R1V475K125AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E055235,"CAP CER 0.01UF 25V 10% X8L 0402, AEC-Q200", 0.01UF,C0402,10,25V,N/A,C232,MURATA, GCM155L81E103KA37D,REL,N/A,N/A,N/A,N/A,N/A,?,?
33,10,E028140,CAP CER 1uF 10V 10% X7S 0402 AEC-Q200, 1uF,C0402,10,10V,N/A,"C27,C41,C43,C48,C51,C53,C56,C61,C66,C254",MURATA, GCM155C71A105KE38D,REL,N/A,N/A,N/A,N/A,N/A,?,?
34,1,E024302,CAP CER 100pF 50V 5% C0G 0402 AEC-Q200, 100pF,C0402,5,50V,N/A,C4,MURATA, GCM1555C1H101JA16D,REL,N/A,N/A,N/A,N/A,7000684,?,?
35,1,E040427,"DIO TVS QUAD LINE FOR ESD PROTECTION, AUTOMOTIVE", ESDA6V1SC6Y,SOT23_6-3,N/A,5.2V,N/A,D1,ST MICROELECTRONICS, ESDA6V1SC6Y,REL,N/A,N/A,N/A,N/A,N/A,?,?
36,1,E045024,DIO TVS HIGH POWER UNIDIRECTIONAL 22V 35A, ESDA25P35-1U1M,DFN2_1_6X1,N/A,22V,1400W,D15,ST MICROELECTRONICS, ESDA25P35-1U1M,REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E045025,DIO TVS ARRAY FOR DATA PROTECTION 24V, ESDA25W5,SC70-5_A,N/A,24V,150W,D17,ST MICROELECTRONICS, ESDA25W5,REL,N/A,N/A,N/A,N/A,N/A,?,?
38,4,E040424,LED GREEN 2.1V 0603, SML-D13FWT86C,LED0603-2,N/A,2.1V,N/A,"DS1,DS2,DS3,DS4",ROHM, SML-D13FWT86C,REL,N/A,N/A,N/A,N/A,N/A,?,?
39,2,E040428,LED RED 615NM AUTOMOTIVE, SML-D14U2WT86C,LED0603_A,N/A,2V,N/A,"DS5,DS6",ROHM, SML-D14U2WT86C,REL,N/A,N/A,N/A,N/A,N/A,?,?
40,2,E027232,LED SMARTLED 591NM YELLOW, LY L296-Q2R2-26-Z,LED0603-2,N/A,2V,N/A,"DS7,DS8",OSRAM OPTO SEMICONDUCTORS, LY L296-Q2R2-26-Z,REL,N/A,N/A,N/A,N/A,7001314,?,?
41,1,E019012,IND FERRITE CHIP BEAD, 600OHM,L1206,25,N/A,N/A,E1,LAIRD TECHNOLOGIES, HZ1206E601R-10,REL,N/A,N/A,N/A,N/A,N/A,?,?
42,3,E011145,FLTR EMI (LC COMBINED TYPE) 2606, 4700pF,F2606,-4,50V,N/A,"FL1,FL2,FL3",MURATA MANUFACTURING, NFE61PT472C1H9L,REL,N/A,40602DG050,N/A,N/A,N/A,?,?
43,3,E035696,"CONN-PCB 100POS HIGH SPEED HERMAPHRODITIC STRIP, 0.635MM PITCH", LSS-150-01-L-DV-A-K,CNSAMTECLSS-150-01-X-DV-A,N/A,N/A,N/A,"J1,J2,J3",SAMTEC INC., LSS-150-01-L-DV-A-K,REL,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E044652,"CONN-PCB 3POS MALE HDR SINGLE ROW 0.64MM SQ POST, 5.84MM POST HEIGHT, 2.54MM PITCH", TSM-103-01-H-SV,CNSMMHDR1X3L300W100H403,N/A,N/A,N/A,JP1,SAMTEC INC., TSM-103-01-H-SV,REL,N/A,N/A,N/A,N/A,N/A,?,?
45,1,E028516,"IND WIREWOUND CHIP, 0.75A, 0.38OHM DCR", 10UH,L1210H67,20,N/A,N/A,L1,MURATA, LQH32PN100MN0K,REL,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E046177,"IND SHIELDED POWER, 0.0018OHM DCR, 25.8A AEC-Q200", 0.1UH,LSMSQ157H122,20,N/A,N/A,L2,COILCRAFT INC., XEL4030-101MEC,REL,N/A,N/A,N/A,N/A,N/A,?,?
47,1,E018077,IND SHIELDED POWER, 1uH,LSML208W216H122,20,N/A,N/A,L3,COILCRAFT, XAL5030-102MEC,REL,N/A,N/A,N/A,N/A,7004777,?,?
48,1,E032809,"IND SHIELDED POWER, 0.0064OHM DCR, 16.8A", 220NH,LSMSQ157H83_A,20,N/A,N/A,L4,COILCRAFT INC., XAL4020-221MEC,REL,N/A,N/A,N/A,N/A,N/A,?,?
49,1,E043638,CONN-PCB USB 3.1 TYPE C RECEPTACLE HORIZONTAL,6.32723E+11,CNWURTH632723300011,N/A,N/A,N/A,P1,WURTH ELEKTRONIK,6.32723E+11,REL,N/A,N/A,N/A,N/A,N/A,?,?
50,1,E027236,CONN-PCB SHROUDED AND EJECTOR IDC HDR VERT 1.27MM PITCH, SHF-105-01-L-D-TH-TR,CNTHMHDR2X5L500W200H215,N/A,N/A,N/A,P6,SAMTEC INC., SHF-105-01-L-D-TH-TR,REL,N/A,N/A,N/A,N/A,6003603,?,?
51,1,E040037,RES SMD 34 Ohm 1% 1/10W 0402 AEC-Q200,34,R0402,1,N/A,1/10W,R1,PANASONIC, ERJ-2RKF34R0X,REL,N/A,N/A,N/A,N/A,N/A,?,?
52,3,E003763,RES SMD 1K Ohm 1% 1/10W 0402 AEC-Q200, 1K,R0402,1,N/A,1/10W,"R9,R10,R11",PANASONIC, ERJ-2RKF1001X,REL,A003-0035-019,N/A,N/A,751_CAB3,7001202,?,?
53,7,E003796,RES SMD 100K Ohm 1% 1/10W 0402 AEC-Q200, 100K,R0402,1,N/A,1/10W,"R96,R99,R100,R104,R105,R107,R108",PANASONIC, ERJ-2RKF1003X,REL,A003-0035-053,41816DG575,N/A,1422_CAB3,N/A,?,?
55,1,E041184,RES SMD 91K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 91K,R0402,0.1,N/A,1/16W,R102,PANASONIC, ERA-2AEB913X,REL,N/A,N/A,N/A,N/A,N/A,?,?
56,1,E029209,RES SMD 9K Ohm 0.1% 1/8W 0805 HIGH PRECISION - HIGH STABILITY, 9K,R0805,0.1,N/A,1/8W,R103,YAGEO, RT0805BRE079KL,REL,N/A,N/A,N/A,N/A,N/A,?,?
57,1,E022008,RES SMD 41.2K Ohm 1% 1/10W 0402 AEC-Q200, 41.2K,R0402,1,N/A,1/10W,R106,PANASONIC, ERJ-2RKF4122X,REL,N/A,N/A,N/A,N/A,N/A,?,?
58,1,E003771,RES SMD 56.2K Ohm 1% 1/10W 0402 AEC-Q200, 56.2K,R0402,1,N/A,1/10W,R109,PANASONIC, ERJ-2RKF5622X,REL,A003-0035-028,41816JH1195,N/A,1616_CAB3,7008065,?,?
59,7,E003452,RES SMD 33 Ohm 5% 1/10W 0402 AEC-Q200,33,R0402,5,N/A,1/10W,"R49,R52,R110,R123,R141,R142,R144",PANASONIC, ERJ-2GEJ330X,REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,?
60,20,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/5W,"R7,R16,R41,R42,R43,R44,R45,R58,R68,R69,R85,R111,R112,R114,R115,R116,R117,R118,R119,R120",VISHAY, CRCW04020000Z0EDHP,REL,N/A,N/A,N/A,N/A,N/A,?,?
61,26,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,"R8,R23,R24,R25,R26,R46,R47,R48,R50,R51,R60,R61,R62,R63,R64,R70,R71,R75,R79,R86,R87,R113,R124,R139,R140,R143",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
62,4,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200,100,R0402,1,N/A,1/10W,"R12,R13,R29,R30",PANASONIC, ERJ-2RKF1000X,REL,N/A,N/A,N/A,N/A,7005699,?,?
63,5,E056162,"RES 10K OHM 1% 1/10W 0402, AEC-Q200", 10K,R0402,1,N/A,1/10W,"R39,R40,R67,R121,R122","KOA SPEER ELECTRONICS, INC.", RK73H1ERTTP1002F,REL,N/A,N/A,N/A,N/A,N/A,?,?
64,2,E010034,RES SMD 3.3K Ohm 1% 1/10W 0402 AEC-Q200, 3.3K,R0402,1,50V,1/10W,"R136,R137",PANASONIC, ERJ-2RKF3301X,REL,N/A,N/A,N/A,N/A,7007123,?,?
65,4,E003446,RES SMD 2.2K Ohm 5% 1/10W 0402 AEC-Q200, 2.2K,R0402,5,N/A,1/10W,"R14,R15,R31,R32",PANASONIC, ERJ-2GEJ222X,REL,A003-0021-010,41816DG1249,N/A,1420_CAB3,N/A,?,?
66,1,E020520,RES SMD 20 Ohm 1% 1/10W 0402 AEC-Q200,20,R0402,1,N/A,1/10W,R17,PANASONIC, ERJ-2RKF20R0X,REL,N/A,N/A,N/A,N/A,N/A,?,?
