"Reference","Value","Qty","#","LCSC"
"C1","1u","1","1","C52923"
"C2","100n","1","2","C1525"
"C3","100n","1","3","C1525"
"C4","100n","1","4","C1525"
"C5","22u","1","5","C11366"
"C6","100n","1","6","C1525"
"C7","22u","1","7","C11366"
"C8","22u","1","8","C11366"
"C9","100n","1","9","C1525"
"C10","100n","1","10","C1525"
"D1","SP0503BAHT","1","11","C7074"
"D2","LED","1","12","C434447"
"J1","USB_C_Receptacle_USB2.0","1","13","C2765186"
"Q1","SS8050","1","14","C916392"
"Q2","SS8050","1","15","C916392"
"R1","10k","1","16","C25744"
"R2","5.1k","1","17","C25905"
"R3","5.1k","1","18","C25905"
"R4","10k","1","19","C25744"
"R5","10k","1","20","C25744"
"R6","2k","1","21","C4109"
"R7","10k","1","22","C25744"
"R8","5.1k","1","23","C25905"
"SW1","SW_Push","1","24","C720477"
"SW2","SW_Push","1","25","C720477"
"U1","CP2102N-Axx-xQFN28","1","26","C6568"
"U2","ESP32-WROOM-E","1","27","C701342"
"U3","AMS1117-3.3","1","28","C6186"
"U4","ESP32-DevKitC","1","29","-"
