"Reference","Value","Qty","#","LCSC"
"C1","1u","1","1","C52923"
"C2","100n","1","2","C1525"
"C3","100n","1","3","C1525"
"C4","100n","1","4","C1525"
"C5","100n","1","5","C1525"
"C6","22u","1","6","C11366"
"C7","22u","1","7","C11366"
"C8","100n","1","8","C1525"
"C9","100n","1","9","C1525"
"C10","22u","1","10","C11366"
"D1","LED","1","11","C434447"
"D2","D_Schottky","1","12","C2837790"
"D3","D_Schottky","1","13","C2837790"
"D4","LED","1","14","C434447"
"J1","USB_C_Receptacle_USB2.0","1","15","C2765186"
"J2","USB_C_Receptacle_USB2.0","1","16","C2765186"
"Q1","Q_NPN_BCE","1","17","C916392"
"Q2","Q_NPN_BCE","1","18","C916392"
"R1","10k","1","19","C25744"
"R2","5.1k","1","20","C25905"
"R3","5.1k","1","21","C25905"
"R4","10k","1","22","C25744"
"R5","10k","1","23","C25744"
"R6","5.1k","1","24","C25905"
"R7","5.1k","1","25","C25905"
"R8","5.1k","1","26","C25905"
"R9","2.4k","1","27","C25882"
"R10","10k","1","28","C25744"
"R11","5.1k","1","29","C25905"
"SW1","SW_Push","1","30","C720477"
"SW2","SW_Push","1","31","C720477"
"U1","ESP32-S3-WROOM-1","1","32","C2913197"
"U2","ESP32-S3-DevKitC","1","33","-"
"U3","CP2102N-Axx-xQFN28","1","34","C6568"
"U5","AMS1117-3.3","1","35","C6186"
