Reference,Value,MPN,Footprint,LCSC_Part,Manufacturer,Description,Stage,Qty,Stock,Price_USD,Status,URL,Notes
Q1,P-MOSFET -40V,PMV45EN2R-JSM,SOT-23,C53113978,JSMSEMI,P-MOSFET VDS=-40V inversão polaridade,1,1,6090,0.0313,in_stock,https://www.lcsc.com/product-detail/C53113978.html,SUBSTITUIDO: SI2359DS nao encontrado na LCSC. PMV45EN2R-JSM VDS=-40V ID=-3.5A SOT-23. VERIFICAR datasheet VDS=-40V antes de usar.
F1,Polyfuse 3A/30V,1812L300MR,1812,C127824,Littelfuse,PTC fuse sobrecorrente V_BATT,1,1,5095,0.0584,in_stock,https://www.lcsc.com/product-detail/C127824.html,SUBSTITUIDO: MF-MSMF300 sem estoque. 1812L300MR Littelfuse 3A/30V 1812 SMD.
TVS1,TVS 22V/1500W,SMDJ22A,SMC,C4154722,TWGMC,TVS 22V/1500W load dump V_BATT,1,1,1830,0.0897,in_stock,https://www.lcsc.com/product-detail/C4154722.html,
L1,10uH/4A shielded,CDRH6D28NP-100NC,SMD6728,C312982,Sumida,Indutor shielded filtro entrada Buck,1,1,2988,0.2355,in_stock,https://www.lcsc.com/product-detail/C312982.html,SUBSTITUIDO: IHSM-5832EH100L nao encontrado na LCSC. CDRH6D28NP-100NC 10uH Isat~4A package 6.7x6.7mm. VERIFICAR altura <10mm.
C1,100uF/50V SMD,EEEFK1H101P,SMD-D8xL10,C178548,PANASONIC,Polymer/electrolytic cap bulk entrada,1,1,4105,0.1487,in_stock,https://www.lcsc.com/product-detail/C178548.html,Panasonic EEEFK1H101P 100uF/50V D8x10.2mm SMD. VERIFICAR altura 10mm vs limite caixa.
U_BUCK,LMR14020 2A,LMR14020SDDAR,SOT-23-6,C187824,TI,Buck 40V/2A 5V out,1,1,7491,0.2477,in_stock,https://www.lcsc.com/product-detail/C187824.html,
U_LDO,AP2112K-3.3,AP2112K-3.3TRG1,SOT-23-5,C51118,DIODES,LDO 3.3V/600mA,1,1,157855,0.0858,in_stock,https://www.lcsc.com/product-detail/C51118.html,
C_IN,100nF/100V X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Decoupling entrada Buck,1,1,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,Nota: C1525 é X5R não X7R. Para X7R 100V buscar CC0402KRX7R8BB104.
C_BOUT1,22uF/10V X5R,CL21A226MAQNNNE,0805,C45783,Samsung Electro-Mechanics,Saida Buck bulk 1,1,1,972440,0.0200,in_stock,https://www.lcsc.com/product-detail/C45783.html,Alterado de 1206 para 0805 - menor e em estoque (973K).
C_BOUT2,22uF/10V X5R,CL21A226MAQNNNE,0805,C45783,Samsung Electro-Mechanics,Saida Buck bulk 2,1,1,972440,0.0200,in_stock,https://www.lcsc.com/product-detail/C45783.html,Mesmo que C_BOUT1
C_BOUT3,100nF X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Saida Buck bypass,1,1,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,Mesmo que C_IN. X5R aceitavel para bypass.
C_BOOT,100nF X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Boot cap LMR14020 (pin BOOT),1,1,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,Mesmo que C_IN
R_BOOT_BK,100k 1%,RC0402FR-07100KL,0402,C60491,YAGEO,Feedback resistor Buck (top Rfb1),1,1,3745800,0.0005,in_stock,https://www.lcsc.com/product-detail/C60491.html,0402. YAGEO RC0402FR-07100KL 100k 1% 0402 (3.7M estoque).
R_BOT_BK,56.2k 1%,RC0402FR-0756K2L,0402,C183355,YAGEO,Feedback resistor Buck (bot Rfb2 - seta Vout=5V),1,1,16600,0.0005,in_stock,https://www.lcsc.com/product-detail/C183355.html,0402. CRITICO: valor define Vout=5V. YAGEO RC0402FR-0756K2L 56.2k 1% 0402.
C_LDO_IN,1uF X5R,CL05A105KA5NQNC,0402,C52923,Samsung Electro-Mechanics,Entrada LDO AP2112K,1,1,5002300,0.0024,in_stock,https://www.lcsc.com/product-detail/C52923.html,
C_LDO_OUT,10uF X5R,CL21A106KOQNNNE,0805,C1713,Samsung Electro-Mechanics,Saida LDO AP2112K,1,1,1803020,0.0084,in_stock,https://www.lcsc.com/product-detail/C1713.html,CORRIGIDO: C19702 era 0603. C1713 = Samsung CL21A106KOQNNNE 10uF 0805 (1.8M estoque).
U_MCU,ESP32-WROOM-32E,ESP32-WROOM-32E-N8,Module,C701342,ESPRESSIF,MCU dual-core 240MHz BLE/WiFi,2,1,8715,3.0504,in_stock,https://www.lcsc.com/product-detail/C701342.html,N8 = 8MB flash (melhor que 4MB especificado). Mesmo pinout/footprint.
U_USB,CP2104 USB-UART,CP2104-F03-GMR,QFN-24-EP(4x4),C47742,SILICON LABS,USB-UART bridge auto-prog,2,1,11690,1.4030,in_stock,https://www.lcsc.com/product-detail/C47742.html,SUBSTITUIDO: CP2102N-A02-GQFN28 sem estoque. CP2104 QFN-24 suporta DTR+RTS para auto-prog. FOOTPRINT DIFERENTE - atualizar PCB.
Q2,BC817-40,BC817-40,SOT-23,C609806,Slkor,NPN BJT auto-prog DTR,2,1,543900,0.0067,in_stock,https://www.lcsc.com/product-detail/C609806.html,SUBSTITUIDO: BC817 sem codigo unico. BC817-40 hFE=250-600 melhor para auto-prog.
Q3,BC817-40,BC817-40,SOT-23,C609806,Slkor,NPN BJT auto-prog RTS,2,1,543900,0.0067,in_stock,https://www.lcsc.com/product-detail/C609806.html,Mesmo codigo que Q2.
C_MCU1,10uF X5R,CL21A106KOQNNNE,0805,C1713,Samsung Electro-Mechanics,Decoupling ESP32 bulk 1,2,1,1803020,0.0084,in_stock,https://www.lcsc.com/product-detail/C1713.html,Samsung CL21A106KOQNNNE 10uF 0805 X5R (1.8M estoque). Mesmo que C_LDO_OUT.
C_MCU2,10uF X5R,CL21A106KOQNNNE,0805,C1713,Samsung Electro-Mechanics,Decoupling ESP32 bulk 2,2,1,1803020,0.0084,in_stock,https://www.lcsc.com/product-detail/C1713.html,Mesmo que C_MCU1
C_MCU3,100nF X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Bypass ESP32,2,2,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,0402. Mesmo que C_IN/C_BOOT.
C_USB,100nF X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Bypass CP2104,2,1,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,0402. Mesmo que C_MCU3
R_GPIO0,10k 1%,RC0402FR-0710KL,0402,C60490,YAGEO,Pull-up GPIO0 boot,2,1,16700,0.0005,in_stock,https://www.lcsc.com/product-detail/C60490.html,YAGEO RC0402FR-0710KL 10k 1% 0402 (16.7K estoque).
