TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_067913c,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_067913c,N/A,?,?,?,?,?,?,?
2,1,E042184,"IC-ADI LOW NOISE, PRECISION, RAIL-TO-RAIL OUTPUT, JFET QUAD OP AMP", ADA4610-1ARJZ,SOT23-5L,N/A,N/A,?,A1,ANALOG DEVICES, ADA4610-1ARJZ-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,2,E033384,CAP CER 27pF 50V 5% C0G 0402 AEC-Q200, 27pF,C0402,5,50V,N/A,"C1,C2",TAIYO YUDEN, UMK105CG270JVHF,REL,N/A,N/A,N/A,N/A,N/A,?,?
4,69,E033317,CAP CER 0.1uF 16V 5% X7R 0402, 0.1uF,C0402,5,16V,N/A,"C5,C7,C9,C10,C47,C50,C53,C56,C59,C62,C63,C66,C69,C74,C95,C98,C100,C103,C105,C121,C128,C130,C135,C138,C139,C140,C142,C143,C145,C147,C149,C157,C160,C161,C164,C165,C170,C171,C183,C184,C185,C186,C191,C192,C227,C228,C230,C232,C233,C234,C235,C237,C238,C240,C242,C243,C246,C251,C253,C254,C255,C256,C258,C260,C263,C264,C282,C283,C284",KEMET, C0402C104J4RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
5,14,E041210,CAP CER 0.22uF 25V 10% X7R 0402 AEC-Q200 LOW ESR, 0.22uF,C0402,10,25V,N/A,"C77,C79,C80,C82,C83,C85,C86,C88,C89,C91,C92,C94,C97,C101",TDK, CGA2B3X7R1E224K050BB,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,32,E028142,CAP CER 1000pF 25V 10% X7R 0201 AEC-Q200, 1000pF,C0201,10,25V,N/A,"C72,C75,C78,C81,C84,C87,C90,C93,C96,C99,C102,C104,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C148,C150,C151,C152,C153,C154,C155,C158,C159",MURATA, GCM033R71E102KA03D,REL,N/A,N/A,N/A,N/A,N/A,?,?
7,3,E033329,CAP CER 10uF 50V 10% X7R 1210 AEC-Q200, 10uF,C1210-2,10,50V,N/A,"C11,C12,C13",AVX CORPORATION, 12105C106K4T2A,REL,N/A,N/A,N/A,N/A,N/A,?,?
8,2,E033351,CAP CER 10uF 10V 20% X5R 0603 AEC-Q200, 10uF,C0603,20,10V,N/A,"C117,C119",TAIYO YUDEN, LMK107BBJ106MAHT,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,7,E028141,CAP CER 0.1uF 16V 10% X7R 0402 AEC-Q200, 0.1uF,C0402,10,16V,N/A,"C30,C33,C34,C118,C120,C285,C286",MURATA, GCM155R71C104KA55D,REL,N/A,N/A,N/A,N/A,N/A,?,?
10,17,E035949,CAP CER 10uF 25V 20% X5R 0603 AEC-Q200, 10uF,C0603,20,25V,N/A,"C8,C37,C38,C40,C41,C43,C44,C122,C129,C131,C132,C133,C134,C136,C137,C141,C182",MURATA, GRT188R61E106ME13D,REL,N/A,N/A,N/A,N/A,N/A,?,?
11,6,E030894,CAP CER 0.01uF 25V 10% X7R 0402 AEC-Q200, 0.01uF,C0402,10,25V,N/A,"C6,C31,C35,C36,C123,C156",MURATA, GCM155R71E103KA37D,REL,N/A,N/A,N/A,N/A,N/A,?,?
12,22,E039013,CAP CER 0.47uF 25V 10% X5R 0402, 0.47uF,C0402,10,25V,N/A,"C46,C48,C51,C52,C54,C55,C57,C58,C60,C61,C64,C65,C67,C68,C70,C71,C73,C76,C124,C125,C126,C127",SAMSUNG, CL05A474KA5NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
13,3,E022431,CAP CER 4.7uF 50V 10% X5R 0805 LOW ESR, 4.7uF,C0805H60,10,50V,N/A,"C14,C25,C29",TDK, C2012X5R1H475K125AB,REL,N/A,N/A,N/A,N/A,N/A,?,?
